tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán nhanh nhà phố Q4 - giá mềm 5TỶ550 Đoàn Văn Bơ 48,5m2 nhà đẹp bất ngờ","5,55 tỷ","Đường Đoàn Văn Bơ, Phường 13, Quận 4, Hồ Chí Minh","48,5 m²",3 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng.,22/11/2025
"Chính chủ cần bán nhà cấp 4, Tôn Đản, Quận 4. Ngang 4,4m(bụng nở hậu 8m) dài 22m. Giá 9.5 tỷ(TL)","9,5 tỷ","Đường Tôn Đản, Phường 15, Quận 4, Hồ Chí Minh",149 m²,4 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
"Nhà đẹp Tôn Đản, Q4 - 2 tầng đúc - 73m2 - 6x12m - không QH chỉ 5 tỷ hơn","5,8 tỷ","Đường Tôn Đản, Phường 15, Quận 4, Hồ Chí Minh",73 m²,2 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
"Bán nhà riêng Đoàn Văn Bơ, P.9, Q.4, HCM 68m2 3 tầng 4PN 4WC SHR HĐ thuê 22tr/th",Thỏa thuận,"Đường Đoàn Văn Bơ, Phường 9, Quận 4, Hồ Chí Minh",68 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
"Chính chủ cần bán nhà Hoàng Diệu, P13, Q4, gần trường THPT Nguyễn Hữu Thọ, giá 3tỷ990, DT 71,4m2",Thỏa thuận,"Đường Hoàng Diệu, Phường 13, Quận 4, Hồ Chí Minh","71,4 m²",4 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
"Cần bán gấp nhà riêng tại Đ. Tôn Đản, Q4, giá 4,7 tỷ, 47m2, 3PN, 3WC","4,7 tỷ","148/12/20 Đường Tôn Đản, Phường 10, Quận 4, Hồ Chí Minh",47 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,16/11/2025
Nhà Tôn Đản Q4 - 4 tầng đúc - 32m2 - ko qh - chỉ 4.5 tỷ,"4,5 tỷ","Đường Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh",32 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
NHÀ ĐẸP TÔN ĐẢN Q4- 60m2 - 5 TẦNG- KO QH- CHỈ 6 TỶ NHỈNH,"6,46 tỷ","Đường Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh",60 m²,4 phòng,4 phòng,5 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
NHÀ TÂN VĨNH Q4- SÁT MT- 30m2 - 3 TẦNG ĐÚC - KO QH- GIÁ 4.9 TỶ,"4,9 tỷ","Đường Tân Vĩnh, Phường 4, Quận 4, Hồ Chí Minh",30 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,22/11/2025
NHÀ VĨNH KHÁNH Q4- 4 LẦU ĐÚC - 32m2 VUÔNG VỨC- KO QH- CHỈ 4.8 TỶ,"4,8 tỷ","Đường Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh",32 m²,4 phòng,4 phòng,4 tầng,Sổ hồng,22/11/2025
