Tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán nhà ngõ 23 Tôn thất thiệp ,Bd,dt:60 m x 5 tg,mt:5 m, giá 26 tỷ",26 tỷ,"Đường Tôn Thất Thiệp, Phường Điện Biên, Quận Ba Đình, Hà Nội",60 m² (4.5x12.0),4 phòng,4 WC,5,Sổ đỏ,2025-11-20
"Chính Chủ Bán Căn Nhà Cách Mặt Phố ĐỘI CẤN 10m, ngay sát Lăng Bác","7,1 tỷ","Đường Đội Cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",23 m²,N/A,N/A,5,Sổ hồng,2025-11-20
"KV hiếm nhà bán !!! Linh Lang – Đào Tấn 38m² x 5T, sát phố, chỉ 7.9 tỷ","7,9 tỷ","Phường Cống Vị, Quận Ba Đình, Hà Nội",38 m²,4 phòng,5 WC,5,Giấy tờ hợp lệ,2025-11-19
❌   Hàng cực hiếm ❌ Ba đình - mặt ngõ thông-KD-su cóc đỗ cửa- nở hậu,"13,9 tỷ","Phường Đội Cấn, Quận Ba Đình, Hà Nội",39 m²,3 phòng,3 WC,4,Giấy tờ hợp lệ,2025-11-19
"Bán Căn nhà ngõ phố Văn Cao - Ba Đình , sát hồ Tây","2,2 tỷ","188d, Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",14 m²,3 phòng,3 WC,5,Giấy tờ hợp lệ,2025-11-19
BÁN NHÀ KIM MÃ – BA ĐÌNH — 5 TẦNG ĐẸP – NGÕ THÔNG GIANG VĂN MINH,"7,7 tỷ","Phường Kim Mã, Quận Ba Đình, Hà Nội",38 m²,4 phòng,4 WC,6,Giấy tờ hợp lệ,2025-11-19
Tôi cần bán nhà Tiểu Khu Ngọc Khánh 5tầng thang máy full nội thất,26 tỷ,"Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",85 m²,6 phòng,6 WC,5,Giấy tờ hợp lệ,2025-11-19
BÁN NHÀ HOÀNG HOA THÁM – TRUNG TÂM BA ĐÌNH--50M RA Ô TÔ TRÁNH,"14,5 tỷ","Phường Ngọc Hà, Quận Ba Đình, Hà Nội",53 m²,4 phòng,3 WC,4,Giấy tờ hợp lệ,2025-11-19
GẤP - NHÀ PHỐ PHAN KẾ BÍNH - ĐÀO TẤN - 50M - 6 TẦNG - MT 5M,"12,9 tỷ","Phường Cống Vị, Quận Ba Đình, Hà Nội",50 m² (5.0x10.0),6 phòng,5 WC,6,Sổ đỏ,2025-11-19
"Hiếm! Nhà Đào Tấn - Linh Lang 40m², ngõ nông, thoáng đẹp, chỉ 8.5 tỷ","8,5 tỷ","Phường Cống Vị, Quận Ba Đình, Hà Nội",40 m²,4 phòng,5 WC,5,Giấy tờ hợp lệ,2025-11-19
"Bán đất Giang Văn Minh 40m2, tặng GPXD, 30m ra phố, oto đỗ, giá 9.5tỷ.","9,5 tỷ","Đường Giang Văn Minh, Phường Kim Mã, Quận Ba Đình, Hà Nội",40 m² (9.8x4.0),N/A,N/A,6,Sổ đỏ,2025-11-19
"Bán nhà măt ngõ khu 28 ông ích khiêm, bd ,dt:45 mx 4 tg, giá: 14,8 ty","14,8 tỷ","Đường Ông Ích Khiêm, Phường Kim Mã, Quận Ba Đình, Hà Nội",58 m² (4.0x13.0),4 phòng,4 WC,N/A,Sổ đỏ,2025-11-18
Nguyên Hồng – Ba Đình – Ô TÔ Tránh – 67 M2 – 3 T – MT 5.4 M – Giá 15.7,"15,7 tỷ","Đường Nguyên Hồng, Phường Thành Công, Quận Ba Đình, Hà Nội",67 m² (5.4x12.0),4 phòng,3 WC,5,Sổ đỏ,2025-11-18
"Bán nhà măt hồ ngõ 135 đội Cấn,dt: 80 x 5 tg, mt:5 m, giá : 35,5 tỷ",35 tỷ,"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",80 m²,5 phòng,5 WC,5,Sổ đỏ,2025-11-18
Tân Ấp – Ba Đình  – Ô Tô Tránh – KD – 61 M – 5 T – MT 5 M – Giá 20.1 T,"20,1 tỷ","Phường Phúc Xá, Quận Ba Đình, Hà Nội",61 m² (5.0x12.0),5 phòng,5 WC,5,Sổ đỏ,2025-11-18
BÁN Tòa  NHÀ MẶT PHỐ  TOÀ VĂN PHÒNG - KINH DOANH - DT450 M giá 380 tỷ,380 tỷ,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội",450 m² (12.0x19.0),8 phòng,N/A,14,Sổ đỏ,2025-11-17
"Bán nhà Giang Văn Minh 7 tầng, có thang máy, ngõ nông, gần phố","25,5 tỷ","Đường Giang Văn Minh, Phường Kim Mã, Quận Ba Đình, Hà Nội",70 m²,N/A,N/A,7,Sổ đỏ,2025-11-18
Mặt Phố Hoàng Hao Thám – Ba Đình = 207 M – 4T – MT 6.8 M – Giá 64.8 Tỷ,"64,8 tỷ","Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",207 m² (6.8x30.0),5 phòng,5 WC,4,Sổ đỏ,2025-11-17
"Tôi chính chủ bán toà BUlDING Mp Văn Cao, Q Ba Đình, Dt 115 m, 10T, mt",80 tỷ,"Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",115 m²,N/A,N/A,10,Sổ đỏ,2025-11-17
"Chính chủ bán nhà Phố Đào Tấn, 55M x 6 Tầng, ô tô qua 17,9 tỷ","17,9 tỷ","Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",55 m² (4.0x14.0),6 phòng,6 WC,6,Sổ đỏ,2025-11-17
Chính Chủ Cần Bán Nhà Kim Mã - 35m2 - 1 nhà ra mặt phố - sổ vuông đẹp,"9,5 tỷ","Phường Kim Mã, Quận Ba Đình, Hà Nội",35 m²,3 phòng,4 WC,5,Giấy tờ hợp lệ,2025-11-16
"Mặt Phố Lô góc Phan Huy Ích Ba Đình 55m2 6 tầng mặt 14m 43,3 Tỷ","43,3 tỷ","Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội",55 m²,11 phòng,7 WC,6,Giấy tờ hợp lệ,2025-11-16
