tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Hàng độc quyền! Chính chủ bán gấp nhà Trần Khánh Dư, Tân Định, Quận 1 70,4m2 - 4 PN",Thỏa thuận,"Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh","70,4 m²",4 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Bán nhà đường Nguyễn Trãi Quận 1 nhà 2 tầng 60m2 cách MT 20m giá chỉ 9,8 tỷ","9,8 tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh","42,2 m²",3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
"Bán nhà HXH góc 3MT đường Trần Hưng Đạo Q1, KC: 2 tầng chỉ 8.5 tỷ pháp lý sạch mua có thể ở ngay","8,5 tỷ","Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh","25,6 m²",2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
"Bán nhà 1/ Trần Đình Xu, Quận 1 gần mặt tiền, hẻm xe hơi","3,89 tỷ","Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh","10,7 m²",3 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
"Nhà thang máy trung tâm Q1 Mạc Đĩnh Chi 67,2m HĐ thuê 33tr/tháng siêu phẩm hot deal",Thỏa thuận,"Đường Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Hồ Chí Minh","67,2 m²",5 phòng,6 phòng,5 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Bán nhà 3 tầng Trần Hưng Đạo Quận 1 - Hẻm xe hơi thông Nguyễn Trãi, nội thất nhập Đức, giá 19 tỷ",19 tỷ,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",51 m²,2 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
"CHDV cao cấp Thạch Thị Thanh, Q1. Ngang 6m x dài 20m, 6 tầng có thang máy TN 120tr/th, giá chỉ 19tỷ",19 tỷ,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh",120 m²,16 phòng,16 phòng,6 tầng,Sổ đỏ/ Sổ hồng,24/11/2025
Chủ nhà decor thẩm mỹ Spa và đẹp lung linh gần 1tỷ- Giá dưới 250tr/1m2 Có sẵn dòng tiền 40tr/1th,"18,9 tỷ","Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",80 m²,6 phòng,6 phòng,5 tầng,Sổ đỏ/ Sổ hồng.,26/11/2025
Hẻm xe hơi 8m Trần Hưng Đạo Quận 1. Bề ngang 8m căn góc 4 lầu giá 25.8 tỷ TL,"25,8 tỷ","Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh","63,2 m²",7 phòng,8 phòng,5 tầng,Sổ đỏ/ Sổ hồng,15/11/2025
"Khan Hiếm khu phố Nhật Hàn - Thái Văn Lung, DT 4x11m, 3 tầng - HĐT 60tr/tháng - Giá bán: 17tỷ",16 tỷ,"Đường Thái Văn Lung, Phường Bến Nghé, Quận 1, Hồ Chí Minh",40 m²,N/A,N/A,5 tầng,Sổ đỏ/ Sổ hồng,18/11/2025
"Bán nhà hẻm đẹp! Trần Khánh Dư P. Tân Định Q.1 (3,2 x 12 m)2 tầng nhà đẹp ở ngay giá 6.9 tỷ TL","6,9 tỷ","Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh","36,8 m²",2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
BÁN NHÀ CHỢ BẾN THÀNH NGAY CÔNG VIÊN 23/9 - Đ.LÊ LAI Q1,21 tỷ,"Đường Lê Lai, Phường Bến Thành, Quận 1, Hồ Chí Minh",63 m²,5 phòng,5 phòng,6 tầng,Sổ đỏ/ Sổ hồng,13/11/2025
"Bán nhà hẻm 37 Trần Đình Xu rộng đẹp sang CN 76m2 chỉ 17,5 tỷ không lỗi phong thủy -0949 227 ***","17,5 tỷ","Hẻm 37, Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",76 m²,N/A,N/A,N/A,Có sổ,25/11/2025
