tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán nhà Mt Lý Tự Trọng ngay Thủ Khoa Huân, Bến Thành, Quận 1, 4.3x25m",84.999,"Lý Tự Trọng, Phường Bến Thành, Quận 1, TPHCM",106.0,3,2,7,Giấy tờ không xác định,2025-11-25
"Bán nhà HXH VIP 10m đường Nguyễn Đình Chiểu, Đa Kao, Q.1 ngang 7.6m",26.5,"Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TPHCM",105.0,6,6,4,Giấy tờ không xác định,2025-11-25
"Bán nhà hẻm 55 Lê Thị Hồng Gấm thông 150 Nguyễn Thái Bình, Quận1, 4x22",35.0,"Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, TPHCM",88.0,8,8,5,Giấy tờ không xác định,2025-11-25
"Bán tòa nhà khách sạn Mt Thủ Khoa Huân, Bến Thành Q.1, H+10tầng,60 Phò",220.0,"Thủ Khoa Huân, Phường Bến Thành, Quận 1, TPHCM",153.0,60,61,10,Giấy tờ không xác định,2025-11-25
"Bán nhà quận 1 giá 9,5 tỷ nguyễn trung ngạn ngang 6,5m dài 9m trệt",9.5,"Nguyễn Trung Ngạn, Phường Bến Nghé, Quận 1, TPHCM",30.0,2,2,2,Sổ hồng,2025-11-25
"Bán tòa nhà Mt Trần Khắc Chân-Trần Quang Khải, Q1, H+8L, 145tỷ",145.0,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",190.0,8,8,8,Giấy tờ không xác định,2025-11-25
"Bán nhà 2mt Trần Hưng Đạo, Quận 1, 6x15m, 3 lầu, giá 23.xtỷ",23.3,"Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",86.0,3,3,3,Giấy tờ không xác định,2025-11-25
"Bán Siêu phẩm Mặt Tiền Lê Thị Hồng Gấm Q1 Dt 4,2m x 20m 4 Tầng 60 Tỷ",60.0,"Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1, TPHCM",80.0,4,4,4,Sổ hồng,2025-11-25
"Bán nhà MT ngay Điện Biên Phủ, Đa Kao, Q1, ngang 8m, 59.9 tỷ",59.9,"Điện Biên Phủ, Phường Đa Kao, Quận 1, TPHCM",200.0,3,3,2,Giấy tờ không xác định,2025-11-25
"Mặt Tiền phố Nhật đường Ngô Văn Năm Q1 ngang 5,5m Dài 27m 8 Tầng 105Tỷ",105.0,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, TPHCM",139.8,17,17,8,Sổ hồng,2025-11-25
"Bán tòa nhà mặt tiền Trần Quang Khải - Hai Bà Trưng, Q1, 6.5x23m, 5L,",69.9,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",145.0,5,5,5,Giấy tờ không xác định,2025-11-25
"Bán nhà Mt Thủ Khoa Huân, Bến Thành, Quận 1, ngay chợ Bến Thành 4.3x25",84.999,"Thủ Khoa Huân, Phường Bến Thành, Quận 1, TPHCM",105.0,3,3,7,Giấy tờ không xác định,2025-11-25
"Bán nhà góc 2MT ngay Nguyễn Đình Chiểu, Đa Kao, Q1, 25.5 tỷ",25.0,"Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TPHCM",75.0,6,6,2,Giấy tờ không xác định,2025-11-25
"Bán nhà MT ngay Trần Khắc Chân gần Trần Quang Khải, TĐ. Quận 1. 8.2x25",65.0,"Trần Khắc Chân, Phường Tân Định, Quận 1, TPHCM",210.0,6,6,4,Giấy tờ không xác định,2025-11-25
"Mặt Tiền Phường Bến Thành mà Chỉ 24,5 Tỷ có bề ngang 3,6m dài 15m",24.5,"Lê Thị Riêng, Phường Bến Thành, Quận 1, TPHCM",53.0,2,2,2,Sổ hồng,2025-11-25
Bán Siêu phẩm Mặt Tiền Trần Quang KhảiQ1 Dt 8 x 36m Cn 276m2 Giá 112Tỷ,112.0,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",276.0,1,1,8,Sổ hồng,2025-11-25
