tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
Bán Nhà Mặt Phố Linh Lang - 105M2* 9 Tầng - Cho Thuê 200Tr/ Tháng,65.0,"Đường Linh Lang, Phường Liễu Giai, Quận Ba Đình, Hà Nội",105.0,13,14,9,Sổ đỏ,2025-11-11
"Chính chủ nhờ bán gấp căn nhà 4,5 tầng 65m hơn 30 tỷ Ba Đình",31.0,"Đường Nguyễn Công Hoan, Phường Giảng Võ, Quận Ba Đình, Hà Nội",65.0,6,4,5,Sổ đỏ,2025-11-11
"Hiếm nhà Kim Mã –35m²x5t, ngõ nông rộng, 3 mặt thoáng, giá chỉ 7,6 tỷ",7.4,"Phường Giảng Võ, Quận Ba Đình, Hà Nội",38.0,3,5,5,Giấy tờ không xác định,2025-11-11
"Nhà Ngọc Khánh,35m2x5t, sát Vinhomes Giảng Võ, Giá trị tăng tương lai",8.0,"Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",35.0,3,4,5,Giấy tờ không xác định,2025-11-11
Tân Ấp Ba ĐÌnh – 84 M2 – 3 Tầng – MT 7.3 M – Giá 8.2 Tỷ,8.2,"Đường Tân Ấp, Phường Phúc Xá, Quận Ba Đình, Hà Nội",83.0,3,3,3,Sổ đỏ,2025-11-15
"Chính chủ Bán Nhà 10m ra phố Kim Mã, 36m² x 4T, cạnh Lotte Liễu Giai",6.2,"Phường Kim Mã, Quận Ba Đình, Hà Nội",36.0,3,5,4,Giấy tờ không xác định,2025-11-11
"Phân lô Ba Đình 52m2*5T,mt 4m,vỉa hè,kd,oto tránh,nhà mới,giá 20.5tỷ.",20.5,"Đường Vĩnh phúc, Phường Đội Cấn, Quận Ba Đình, Hà Nội",52.0,7,4,5,Sổ hồng,2025-11-10
Cần chuyển nhượng nhà trung tâm phố cổ,7.8,"Phường Quán Thánh, Quận Ba Đình, Hà Nội",29.0,3,3,4,Giấy tờ không xác định,2025-11-10
BÁN NHÀ ĐẸP BA ĐÌNH – FULL NỘI THẤT – GẦN Ô TÔ – GIÁ TỐT,11.5,"Phường Phúc Xá, Quận Ba Đình, Hà Nội",40.0,2,3,4,Giấy tờ không xác định,2025-11-10
Bán nhà trong ngõ 25 phan đình Phùng,13.5,"25, Đường Phan Đình Phùng, Phường Quán Thánh, Quận Ba Đình, Hà Nội",47.0,5,3,5,Sổ đỏ,2025-11-09
Cực hiếm!  Bán Nhà ba đình – đào tấn 41m2 x4 tầng ngõ thông kinh doanh,14.65,"Đường Đào Tấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",41.0,4,3,4,Sổ đỏ,2025-11-13
GIÁ NÀO CŨNG BÁN NHÀ PHỐ HOÀNG HOA THÁM – BA ĐÌNH 55m 3 TẦNG MẶT TIỀN,13.0,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",55.0,4,4,3,Sổ đỏ,2025-11-13
"Lô Góc Ba Đình 35m2 - 5 Tầng - Gần Phố - Ở Ngay - Giá 7,6 Tỷ",7.6,"Phường Giảng Võ, Quận Ba Đình, Hà Nội",35.0,3,4,5,Giấy tờ không xác định,2025-11-09
🏡 TÂN ẤP – BA ĐÌNH | NHÀ ĐẸP DÂN XÂY – FULL NỘI THẤT – GẦN Ô TÔ,11.5,"Phường Phúc Xá, Quận Ba Đình, Hà Nội",40.0,4,3,4,Giấy tờ không xác định,2025-11-09
Lô Góc Ba Đình 45m2 - 6 Tầng Thang Máy - Ngõ Thông - Ô Tô - Giá 12 Tỷ,12.0,"Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",45.0,3,4,6,Giấy tờ không xác định,2025-11-09
"Bán nhà khu 28 Ông ích Khiêm ,dt :85m² x 5 tg,mt : 6m, giá:28,5 ty",28.5,"Đường Ông Ích Khiêm, Phường Đội Cấn, Quận Ba Đình, Hà Nội",85.0,6,7,4,Sổ đỏ,2025-11-08
💥  NHÀ ĐẸP TRUNG TÂM BA ĐÌNH – Ở NGAY – CÁCH Ô TÔ VÀI BƯỚC 💥,8.6,"612, Đường Đê La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội",41.3,4,3,4,Sổ đỏ,2025-11-12
Đội Cấn 29m2-6 tầng-mt 5m-ô tô tránh đỗ 14.5 tỷ(Có thương lượng),14.5,"279, Đường Đội Cấn, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",29.0,3,5,6,Sổ đỏ,2025-11-12
Phố Tân Ấp – Ba Đình – Ô Tô Tránh – 61 M – 5 T – MT 5 M – Giá 19.5 Tỷ.,19.5,"Đường Tân Ấp, Phường Phúc Xá, Quận Ba Đình, Hà Nội",61.0,5,4,5,Sổ đỏ,2025-11-12
"HIẾM !!! BÁN NHÀ GIANG VĂN MINH–KIM MÃ–42M²x 5T–GẦN PHỐ–CHỈ 9,8 TỶ",9.8,"Phường Kim Mã, Quận Ba Đình, Hà Nội",42.0,3,5,5,Giấy tờ không xác định,2025-11-08
"Mặt ngõ kinh doanh Núi Trúc - 38m2-10m ra phố -Ngõ thông, Chỉ 9,2 Tỷ",9.2,"Phường Giảng Võ, Quận Ba Đình, Hà Nội",38.0,3,5,4,Giấy tờ không xác định,2025-11-08
"Đội Cấn 27m² 5T 4PN 8.8 Tỷ Ba Đình – TRUNG TÂM, VÀI BƯỚC RA PHỐ",8.8,"Phường Đội Cấn, Quận Ba Đình, Hà Nội",27.0,2,3,5,Giấy tờ không xác định,2025-11-08
"🇻🇳Nhà mới kính koong #Ba_Đình, 22m2, 5 tầng, mt 3.5, Giá chỉ 5.9 tỷ",5.9,"Phường Phúc Xá, Quận Ba Đình, Hà Nội",22.0,3,3,5,Giấy tờ không xác định,2025-11-08
NHÀ ĐẸP TRUNG TÂM BA ĐÌNH – VÀI BƯỚC RA PHỐ – 5 TẦNG FULL CÔNG NĂNG,8.8,"Phường Đội Cấn, Quận Ba Đình, Hà Nội",27.0,2,3,5,Giấy tờ không xác định,2025-11-08
PHÂN LÔ – NỞ HẬU – 2 MẶT THOÁNG – LÕI BA ĐÌNH,7.8,"Phường Cống Vị, Quận Ba Đình, Hà Nội",29.0,4,3,4,Giấy tờ không xác định,2025-11-08
HÓT BA ĐÌNH – GIÁ ĐẦU TƯ – SỔ ĐỎ CHÍNH CHỦ,7.5,"Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",34.0,2,3,3,Giấy tờ không xác định,2025-11-08
Vĩnh Phúc – Ba Đình – Ô Tô tránh – 123 m2 – 5 T – MT 4.5 m – Giá 30.3,30.3,"Đường Vĩnh Phúc, Phường Cống Vị, Quận Ba Đình, Hà Nội",123.0,7,7,5,Sổ đỏ,2025-11-11
Bán gấp nhà 6 tầng sát phố Giảng Võ hơn 6 tỷ,6.86,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",30.0,3,3,6,Sổ đỏ,2025-11-11
