tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán nhà trung tâm Q. 1, đường Nguyễn Bỉnh Khiêm, P. Bến Nghé Q1 (ngang 5m) 3 tầng. Giá chỉ 8,7 tỷ",8.7,"25, Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, Hồ Chí Minh",40.0,2.0,3.0,3.0,Sổ hồng,2025-11-06
Bán gấp trong tháng - Bán nhà Lê Thị Riêng 110m² - 4 tầng - 25 tỷ,25.0,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",110.0,6.0,6.0,4.0,Sổ hồng,2025-11-26
"Hẻm Xe Hơi Nguyễn Hữu Cầu. Tân Định. Q1 - 5 Tầng ( 4 x 20m ) - 10 Phòng CHDV : 90 Triệu - 19,8 Tỷ",19.8,"Đường Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Hồ Chí Minh",80.0,9.0,9.0,5.0,Sổ hồng,2025-11-21
"HIẾM!!! Bán nhà hẻm Hoàng Sa, Phường Tân Định, Quận 1, 3 tầng, lô góc, hẻm thông, 50 m2 chỉ 8,5 tỷ",8.5,"Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh",50.0,5.0,5.0,3.0,Sổ hồng,2025-11-18
"Nhà đẹp đường Trần Đình Xu, Quận 1, hẻm xe hơi, vuông vức, BĐS dòng tiền, 21m2 giá 5,7 tỷ",5.7,"Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",21.0,2.0,2.0,3.0,Sổ hồng,2025-11-18
"Nhà cũ đường Đề Thám, gần Bùi Viện, cách đường 1 căn, tiện xây mới, 3x6 nở hậu nhẹ, giá chỉ 3,8 tỷ",3.8,"Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",17.0,1.0,1.0,1.0,Sổ hồng,2025-11-12
KHU VIP -NGAY BỘ CÔNG AN -HXT 8m THÔNG - DT 43M2 - 6 TẦNG -4 PN -NGUYỄN CẢNH CHÂN Q.1 - 12TỶ7 TL!,12.7,"Đường Nguyễn Cảnh Chân, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",43.0,4.0,5.0,6.0,Sổ hồng,2025-11-11
"TT Quận 1, nhà đẹp hẻm rộng ngay Thảo Cầm Viên. 40m2 - 3 tầng BTCT chỉ 8,8 tỷ",8.8,"Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, Hồ Chí Minh",40.0,2.0,2.0,3.0,Sổ hồng,2025-11-26
"Nhà đẹp cực hiếm tại con đường xưa nhất nhì ở Sài Gòn - Nguyễn Bỉnh Khiêm, Quận 1 - Giá 8,7 tỷ đồng",8.7,"Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, Hồ Chí Minh",37.0,2.0,2.0,2.0,Sổ hồng,2025-11-26
"Bán CHDV Quận 1 - thu nhập 95tr/tháng; đường Tôn Thất Tùng Q1 (ngang 7,5x10,5m) CN: 71,5m2, 13 CHDV",34.8,"Đường Tôn Thất Tùng, Phường Bến Thành, Quận 1, Hồ Chí Minh",71.0,13.0,13.0,5.0,Sổ hồng,2025-11-10
